"ComplaintID","CDisputed.fctr","CDisputed.fctr.Low.cor.X..rcv.glmnet.prob","CDisputed.fctr.Low.cor.X..rcv.glmnet","CDisputed.fctr.Low.cor.X..rcv.glmnet.err","CDisputed.fctr.Low.cor.X..rcv.glmnet.err.abs","CDisputed.fctr.Low.cor.X..rcv.glmnet.is.acc"
1494142,"N",0.104019057601874,"N",FALSE,0.104019057601874,TRUE
1494565,"Y",0.335721040201857,"N",TRUE,0.664278959798143,FALSE
1490733,"N",0.0652436659494751,"N",FALSE,0.0652436659494751,TRUE
1491904,"N",0.27542973298105,"N",FALSE,0.27542973298105,TRUE
1499849,"N",0.528814997896279,"N",FALSE,0.528814997896279,TRUE
1561393,"N",0.418942552711381,"N",FALSE,0.418942552711381,TRUE
1555274,"Y",0.427330797414989,"N",TRUE,0.572669202585011,FALSE
1532381,"Y",0.171044800630683,"N",TRUE,0.828955199369317,FALSE
1563956,"N",0.477108736156973,"N",FALSE,0.477108736156973,TRUE
1574328,"N",0.542463032330088,"N",FALSE,0.542463032330088,TRUE
1582929,"N",0.202213008019484,"N",FALSE,0.202213008019484,TRUE
1604719,"N",0.0416659813421725,"N",FALSE,0.0416659813421725,TRUE
1604848,"N",0.047026917032584,"N",FALSE,0.047026917032584,TRUE
1569745,"N",0.282052588474884,"N",FALSE,0.282052588474884,TRUE
1569890,"N",0.490534662612869,"N",FALSE,0.490534662612869,TRUE
1569982,"N",0.249015603057127,"N",FALSE,0.249015603057127,TRUE
1598532,"N",0.202123199344873,"N",FALSE,0.202123199344873,TRUE
1605935,"N",0.0251962911028798,"N",FALSE,0.0251962911028798,TRUE
1620381,"N",0.0625257357062368,"N",FALSE,0.0625257357062368,TRUE
1613953,"N",0.0319651484724377,"N",FALSE,0.0319651484724377,TRUE
1613971,"N",0.0460245514611381,"N",FALSE,0.0460245514611381,TRUE
1621396,"N",0.0631014725706301,"N",FALSE,0.0631014725706301,TRUE
1621398,"N",0.0703192777382343,"N",FALSE,0.0703192777382343,TRUE
1621413,"N",0.0426640268425013,"N",FALSE,0.0426640268425013,TRUE
1621468,"N",0.0368400161524822,"N",FALSE,0.0368400161524822,TRUE
1621488,"N",0.0391721289756329,"N",FALSE,0.0391721289756329,TRUE
1622272,"N",0.0307694047907254,"N",FALSE,0.0307694047907254,TRUE
1622615,"N",0.0297209567288949,"N",FALSE,0.0297209567288949,TRUE
1593463,"N",0.302464096688314,"N",FALSE,0.302464096688314,TRUE
1615613,"N",0.121243987162261,"N",FALSE,0.121243987162261,TRUE
